https://repo-fi.voidlinux.org,Europe,Helsinki,FI
https://repo-de.voidlinux.org,Europe,Frankfurt am Main,DE
https://repo-fastly.voidlinux.org,Global,-,CDN
https://mirrors.servercentral.com/voidlinux,America,Chicago,US
https://mirrors.ps.kz/voidlinux,Asia,Almaty,KZ
https://mirror.nju.edu.cn/voidlinux,Asia,,CN
https://mirrors.bfsu.edu.cn/voidlinux,Asia,Beijing,CN
https://mirrors.cnnic.cn/voidlinux,Asia,Beijing,CN
https://mirrors.tuna.tsinghua.edu.cn/voidlinux,Asia,Beijing,CN
https://mirror.sjtu.edu.cn/voidlinux,Asia,Shanghai,CN
https://repo.jing.rocks/voidlinux,Asia,Tokyo,JP
https://void.webconverger.org,Asia,Singapore,SG
https://ftp.dk.xemacs.org/voidlinux,Europe,,DK
https://mirrors.dotsrc.org/voidlinux,Europe,,DK
https://ftp.cc.uoc.gr/mirrors/linux/voidlinux,Europe,,GR
https://voidlinux.mirror.garr.it,Europe,,IT
https://void.cijber.net,Europe,Amsterdam,NL
https://void.sakamoto.pl,Europe,Warsaw,PL
https://ftp.debian.ru/mirrors/voidlinux,Europe,,RU
https:/mirror.yandex.ru/mirrors/voidlinux,Europe,,RU
https://ftp.lysator.liu.se/pub/voidlinux,Europe,,SE
https://mirror.accum.se/mirror/voidlinux,Europe,,SE
https://mirror.puzzle.ch/voidlinux,Europe,Bern,CH
https://mirror.vofr.net/voidlinux,America,,US
https://mirror2.sandyriver.net/pub/voidlinux,America,,US
https://mirror.clarkson.edu/voidlinux,America,New York,US
https://mirror.aarnet.edu.au/pub/voidlinux,Australia,Canberra,AU
https://ftp.swin.edu.au/voidlinux,Australia,Melbourne,AU
https://voidlinux.com.br/repo,America,,BR
https://void.chililinux.com/voidlinux,America,,BR
